#1
add,plus: 加; [st]基础; [or]math;
inscribed triangle: 内接三角形; [st]三角形; [or]math;
#3.有关收敛的平面图形,除三角形外
semicircle: 半圆; [st]收敛的平面图形; [or]math;
concentric circles: 同心圆; [st]收敛的平面图形; [or]math;
quadrilateral: 四边形; [st]收敛的平面图形; [or]math;
pentagon: 五边形; [st]收敛的平面图形; [or]math;
hexagon: 六边形; [st]收敛的平面图形; [or]math;
heptagon: 七边形; [st]收敛的平面图形; [or]math;
octagon: 八边形; [st]收敛的平面图形; [or]math;
nonagon: 九边形; [st]收敛的平面图形; [or]math;
decagon: 十边形; [st]收敛的平面图形; [or]math;
polygon: 多边形; [st]收敛的平面图形; [or]math;
parallelogram: 平行四边形; [st]收敛的平面图形; [or]math;
equilateral: 等边形; [st]收敛的平面图形; [or]math;
plane: 平面; [st]收敛的平面图形; [or]math;
square: 正方形,平方; [st]收敛的平面图形; [or]math;
rectangle: 长方形; [st]收敛的平面图形; [or]math;
regular polygon: 正多边形; [st]收敛的平面图形; [or]math;
rhombus: 菱形; [st]收敛的平面图形; [or]math;
trapezoid: 梯形; [st]收敛的平面图形; [or]math;
4.其它平面图形 [or]math;
arc: 弧; [st]平面图形; [or]math;
line, straight line: 直线; [st]平面图形; [or]math;
line segment: 线段; [st]平面图形; [or]math;
parallel lines: 平行线; [st]平面图形; [or]math;
segment of a circle: 弧形; [st]平面图形; [or]math;
5.有关立体图形 [or]math;
cube: 立方体,立方数; [st]立体图形; [or]math;
rectangular solid: 长方体; [st]立体图形; [or]math;
regular solid/regular polyhedron: 正多面体; [st]立体图形; [or]math;
circular cylinder: 圆柱体; [st]立体图形; [or]math;
cone: 圆锥; [st]立体图形; [or]math;
sphere: 球体; [st]立体图形; [or]math;
solid: 立体的; [st]立体图形; [or]math;
#6.有关图形上的附属物
altitude: 高; [st]图形上的附属物; [or]math;
depth: 深度; [st]图形上的附属物; [or]math;
side: 边长; [st]图形上的附属物; [or]math;
circumference, perimeter: 周长; [st]图形上的附属物; [or]math;
radian: 弧度; [st]图形上的附属物; [or]math;
surface area: 表面积; [st]图形上的附属物; [or]math;
volume: 体积; [st]图形上的附属物; [or]math;
arm: 直角三角形的股; [st]图形上的附属物; [or]math;
cross section: 横截面; [st]图形上的附属物; [or]math;
center of acircle: 圆心; [st]图形上的附属物; [or]math;
chord: 弦; [st]图形上的附属物; [or]math;
radius: 半径; [st]图形上的附属物; [or]math;
angle bisector: 角平分线; [st]图形上的附属物; [or]math;
diagonal: 对角线; [st]图形上的附属物; [or]math;
diameter: 直径; [st]图形上的附属物; [or]math;
edge: 棱; [st]图形上的附属物; [or]math;
face of a solid: 立体的面; [st]图形上的附属物; [or]math;
hypotenuse: 斜边; [st]图形上的附属物; [or]math;
included side: 夹边; [st]图形上的附属物; [or]math;
leg: 三角形的直角边; [st]图形上的附属物; [or]math;
median of a triangle: 三角形的中线; [st]图形上的附属物; [or]math;
base: 底边,底数(e.g.2的5次方,2就是底数); [st]图形上的附属物; [or]math;
opposite: 直角三角形中的对边; [st]图形上的附属物; [or]math;
midpoint: 中点; [st]图形上的附属物; [or]math;
endpoint: 端点; [st]图形上的附属物; [or]math;
vertex(复数形式: vertices)顶点; [st]图形上的附属物; [or]math;
tangent: 切线的; [st]图形上的附属物; [or]math;
transversal: 截线; [st]图形上的附属物; [or]math;
intercept: 截距; [st]图形上的附属物; [or]math;
#7.有关坐标
coordinate system: 坐标系; [st]坐标; [or]math;
rectangular coordinate: 直角坐标系; [st]坐标; [or]math;
origin: 原点; [st]坐标; [or]math;
abscissa: 横坐标; [st]坐标; [or]math;
ordinate: 纵坐标; [st]坐标; [or]math;
Number line: 数轴; [st]坐标; [or]math;
quadrant: 象限; [st]坐标; [or]math;
slope: 斜率; [st]坐标; [or]math;
complex plane: 复平面; [st]坐标; [or]math;
#8.其它
plane geometry: 平面几何; [or]其它; [or]math;
trigonometry: 三角学; [or]其它; [or]math;
bisect: 平分; [or]其它; [or]math;
circumscribe: 外切; [or]其它; [or]math;
inscribe: 内切; [or]其它; [or]math;
intersect: 相交; [or]其它; [or]math;
perpendicular: 垂直; [or]其它; [or]math;
Pythagorean theorem: 勾股定理; [or]其它; [or]math;
congruent: 全等的; [or]其它; [or]math;
multilateral: 多边的; [or]其它; [or]math;
#其它相关词汇
cent: 美分; [or]单位; [or]math;
penny: 一美分硬币; [or]单位; [or]math;
nickel: 5美分硬币; [or]单位; [or]math;
dime: 一角硬币; [or]单位; [or]math;
dozen: 打(12个); [or]单位; [or]math;
score: 廿(20个); [or]单位; [or]math;
Centigrade: 摄氏; [or]单位; [or]math;
Fahrenheit: 华氏; [or]单位; [or]math;
quart: 夸脱; [or]单位; [or]math;
gallon: 加仑(1gallon=4quart); [or]单位; [or]math;
yard: 码; [or]单位; [or]math;
meter: 米; [or]单位; [or]math;
micron: 微米; [or]单位; [or]math;
inch: 英寸; [or]单位; [or]math;
foot: 英尺; [or]单位; [or]math;
minute: 分(角度的度量单位,60分=1度); [or]单位; [or]math;
square measure: 平方单位制; [or]单位; [or]math;
cubic meter: 立方米; [or]单位; [or]math;
pint: 品脱(干量或液量的单位); [or]单位; [or]math;
