# 1. Signposting and focusing in lectures/lessons
I was going to / we are going to :   [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
we can see :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
as you can see :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
so you can see :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
you can see here :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
you will see :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
we/you need to know :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
have to look at :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
look at this :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
here we have :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;

# 2 Specifying topics and relations between ideas
in terms of :  [st]Specifying topics and relations between ideas; [or]spoken_oxf;
with respect to :  [st]Specifying topics and relations between ideas; [or]spoken_oxf;
in relation to :  [st]Specifying topics and relations between ideas; [or]spoken_oxf;
(in) the context of :  [st]Specifying topics and relations between ideas; [or]spoken_oxf;
in the case of :  [st]Specifying topics and relations between ideas; [or]spoken_oxf;
from the point of view of :  [st]Specifying topics and relations between ideas; [or]spoken_oxf;
when it comes to :  [st]Specifying topics and relations between ideas; [or]spoken_oxf;
in the form of :  [st]Specifying topics and relations between ideas; [or]spoken_oxf;
on the basis of :  [st]Specifying topics and relations between ideas; [or]spoken_oxf;
to do with :  [st]Specifying topics and relations between ideas; [or]spoken_oxf;
as to :  [st]Specifying topics and relations between ideas; [or]spoken_oxf;
nothing to do with :  [st]Specifying topics and relations between ideas; [or]spoken_oxf;
the idea is that :  [st]Specifying topics and relations between ideas; [or]spoken_oxf;
the idea of :  [st]Specifying topics and relations between ideas; [or]spoken_oxf;
this idea of :  [st]Specifying topics and relations between ideas; [or]spoken_oxf;
the idea that :  [st]Specifying topics and relations between ideas; [or]spoken_oxf;
the notion of :  [st]Specifying topics and relations between ideas; [or]spoken_oxf;
the meaning of :  [st]Specifying topics and relations between ideas; [or]spoken_oxf;
in the sense (that) :  [st]Specifying topics and relations between ideas; [or]spoken_oxf;

# 3 Drawing attention to something or focusing on it
in this/that case :  [st]Drawing attention to something or focusing on it; [or]spoken_oxf;
the question is :  [st]Drawing attention to something or focusing on it; [or]spoken_oxf;
the point is that :  [st]Drawing attention to something or focusing on it; [or]spoken_oxf;
the problem of :  [st]Drawing attention to something or focusing on it; [or]spoken_oxf;
the problem with :  [st]Drawing attention to something or focusing on it; [or]spoken_oxf;
the possibility of :  [st]Drawing attention to something or focusing on it; [or]spoken_oxf;
the state of :  [st]Drawing attention to something or focusing on it; [or]spoken_oxf;
the issue of :  [st]Drawing attention to something or focusing on it; [or]spoken_oxf;
the question of :  [st]Drawing attention to something or focusing on it; [or]spoken_oxf;
the nature of :  [st]Drawing attention to something or focusing on it; [or]spoken_oxf;
one of the things :  [st]Drawing attention to something or focusing on it; [or]spoken_oxf;
in particular :  [st]Drawing attention to something or focusing on it; [or]spoken_oxf;
the most important :  [st]Drawing attention to something or focusing on it; [or]spoken_oxf;
the importance of :  [st]Drawing attention to something or focusing on it; [or]spoken_oxf;
is important to :  [st]Drawing attention to something or focusing on it; [or]spoken_oxf;
a very important :  [st]Drawing attention to something or focusing on it; [or]spoken_oxf;
one of the key :  [st]Drawing attention to something or focusing on it; [or]spoken_oxf;
one of the most :  [st]Drawing attention to something or focusing on it; [or]spoken_oxf;

# 4 Clarifying and restating
(so) in other words :  [st]Clarifying and restating; [or]spoken_oxf;
as I say :  [st]Clarifying and restating; [or]spoken_oxf;
as I said :  [st]Clarifying and restating; [or]spoken_oxf;
that is to say :  [st]Clarifying and restating; [or]spoken_oxf;
what I mean by :  [st]Clarifying and restating; [or]spoken_oxf;
in a sense :  [st]Clarifying and restating; [or]spoken_oxf;
if you like :  [st]Clarifying and restating; [or]spoken_oxf;
as it were :  [st]Clarifying and restating; [or]spoken_oxf;
you might say :  [st]Clarifying and restating; [or]spoken_oxf;
in some way :  [st]Clarifying and restating; [or]spoken_oxf;
more or less :  [st]Clarifying and restating; [or]spoken_oxf;
(the) way(s) in which :  [st]Clarifying and restating; [or]spoken_oxf;
the way that :  [st]Clarifying and restating; [or]spoken_oxf;
a way of :  [st]Clarifying and restating; [or]spoken_oxf;
in the way that :  [st]Clarifying and restating; [or]spoken_oxf;
in a way that :  [st]Clarifying and restating; [or]spoken_oxf;
in such a way :  [st]Clarifying and restating; [or]spoken_oxf;
in this/that way :  [st]Clarifying and restating; [or]spoken_oxf;
in the same way :  [st]Clarifying and restating; [or]spoken_oxf;
the same thing :  [st]Clarifying and restating; [or]spoken_oxf;

# 5 Giving examples
going to give you an example :  [st]Giving examples; [or]spoken_oxf;
(so) for example :  [st]Giving examples; [or]spoken_oxf;
for instance :  [st]Giving examples; [or]spoken_oxf;
such as :  [st]Giving examples; [or]spoken_oxf;
an example of :  [st]Giving examples; [or]spoken_oxf;
to show you :  [st]Giving examples; [or]spoken_oxf;
an idea of :  [st]Giving examples; [or]spoken_oxf;
a sense of :  [st]Giving examples; [or]spoken_oxf;
what I mean :  [st]Giving examples; [or]spoken_oxf;
a bit like :  [st]Giving examples; [or]spoken_oxf;
something like :  [st]Giving examples; [or]spoken_oxf;
like this :  [st]Giving examples; [or]spoken_oxf;

# 6 Adding [st]
as well as :  [st]Adding; [or]spoken_oxf;
and so on (and so forth) :  [st]Adding; [or]spoken_oxf;
and all the rest of it :  [st]Adding; [or]spoken_oxf;
et cetera (et.) :  [st]Adding; [or]spoken_oxf;
(not only) but also :  [st]Adding; [or]spoken_oxf;

# 7 Using vague language
or something like that :  [st]Using vague language; [or]spoken_oxf;
something to do with :  [st]Using vague language; [or]spoken_oxf;
a kind of :  [st]Using vague language; [or]spoken_oxf;
a sort of :  [st]Using vague language; [or]spoken_oxf;
some kind of :  [st]Using vague language; [or]spoken_oxf;
some sort of :  [st]Using vague language; [or]spoken_oxf;
this/that sort of (thing) :  [st]Using vague language; [or]spoken_oxf;
this/that kind of (thing) :  [st]Using vague language; [or]spoken_oxf;
the sort of thing :  [st]Using vague language; [or]spoken_oxf;
all sorts of :  [st]Using vague language; [or]spoken_oxf;
all kinds of :  [st]Using vague language; [or]spoken_oxf;
and things like that :  [st]Using vague language; [or]spoken_oxf;
in a way :  [st]Using vague language; [or]spoken_oxf;
in some ways :  [st]Using vague language; [or]spoken_oxf;
to some extent :  [st]Using vague language; [or]spoken_oxf;
of some kind :  [st]Using vague language; [or]spoken_oxf;
or whatever :  [st]Using vague language; [or]spoken_oxf;
a little bit about :  [st]Using vague language; [or]spoken_oxf;
a (little) bit more about :  [st]Using vague language; [or]spoken_oxf;

# 8 Classifying and comparing things
the same sort of :  [st]Using vague language; [or]spoken_oxf;
the sorts of :  [st]Using vague language; [or]spoken_oxf;
the kinds of :  [st]Using vague language; [or]spoken_oxf;
these sorts of :  [st]Using vague language; [or]spoken_oxf;
the type of :  [st]Using vague language; [or]spoken_oxf;
types of :  [st]Using vague language; [or]spoken_oxf;

# 9 Making contrasts
on the other hand :  [st]Making contrasts; [or]spoken_oxf;
on the one hand :  [st]Making contrasts; [or]spoken_oxf;
at the same time :  [st]Making contrasts; [or]spoken_oxf;
as opposed to :  [st]Making contrasts; [or]spoken_oxf;
rather than :  [st]Making contrasts; [or]spoken_oxf;
the difference between :  [st]Making contrasts; [or]spoken_oxf;
but in fact :  [st]Making contrasts; [or]spoken_oxf;
the other way round :  [st]Making contrasts; [or]spoken_oxf;

# 10 Expressing relationships between things and ideas
the relationship between :  [st]Expressing relationships between things and ideas; [or]spoken_oxf;
a function of :  [st]Expressing relationships between things and ideas; [or]spoken_oxf;
the role of :  [st]Expressing relationships between things and ideas; [or]spoken_oxf;
according to :  [st]Expressing relationships between things and ideas; [or]spoken_oxf;
involved in :  [st]Expressing relationships between things and ideas; [or]spoken_oxf;

# 11 Expressing aims, causes and effects
as a result (of) :  [st]Expressing aims, causes and effects; [or]spoken_oxf;
the effect(s) of :  [st]Expressing aims, causes and effects; [or]spoken_oxf;
what happens if :  [st]Expressing aims, causes and effects; [or]spoken_oxf;
what happens to :  [st]Expressing aims, causes and effects; [or]spoken_oxf;
one of the reasons :  [st]Expressing aims, causes and effects; [or]spoken_oxf;
the reason for :  [st]Expressing aims, causes and effects; [or]spoken_oxf;
the reason why :  [st]Expressing aims, causes and effects; [or]spoken_oxf;
because of :  [st]Expressing aims, causes and effects; [or]spoken_oxf;
so that :  [st]Expressing aims, causes and effects; [or]spoken_oxf;
in order to :  [st]Expressing aims, causes and effects; [or]spoken_oxf;
the basis of :  [st]Expressing aims, causes and effects; [or]spoken_oxf;
to see how :  [st]Expressing aims, causes and effects; [or]spoken_oxf;
to work out :  [st]Expressing aims, causes and effects; [or]spoken_oxf;
to find out :  [st]Expressing aims, causes and effects; [or]spoken_oxf;

# 12 Ordering content and making time references
first of all :  [st]Ordering content and making time references; [or]spoken_oxf;
the first thing (that) :  [st]Ordering content and making time references; [or]spoken_oxf;
in the first place :  [st]Ordering content and making time references; [or]spoken_oxf;
at the beginning/start (of) :  [st]Ordering content and making time references; [or]spoken_oxf;
at the end (of) :  [st]Ordering content and making time references; [or]spoken_oxf;
by the end of :  [st]Ordering content and making time references; [or]spoken_oxf;
in a moment :  [st]Ordering content and making time references; [or]spoken_oxf;
at this point :  [st]Ordering content and making time references; [or]spoken_oxf;
at that point :  [st]Ordering content and making time references; [or]spoken_oxf;
in this course :  [st]Ordering content and making time references; [or]spoken_oxf;
at this stage :  [st]Ordering content and making time references; [or]spoken_oxf;
for the moment :  [st]Ordering content and making time references; [or]spoken_oxf;
for a long time :  [st]Ordering content and making time references; [or]spoken_oxf;
in the future :  [st]Ordering content and making time references; [or]spoken_oxf;
period of time :  [st]Ordering content and making time references; [or]spoken_oxf;
in a minute :  [st]Ordering content and making time references; [or]spoken_oxf;
later on :  [st]Ordering content and making time references; [or]spoken_oxf;

# 13 Hedging and expressing degrees of certainty
may or may not :  [st]Hedging and expressing degrees of certainty; [or]spoken_oxf;
it seems to me (that) :  [st]Hedging and expressing degrees of certainty; [or]spoken_oxf;
I think (that) :  [st]Hedging and expressing degrees of certainty; [or]spoken_oxf;
I would say :  [st]Hedging and expressing degrees of certainty; [or]spoken_oxf;
I suppose :  [st]Hedging and expressing degrees of certainty; [or]spoken_oxf;
of course :  [st]Hedging and expressing degrees of certainty; [or]spoken_oxf;
the fact that :  [st]Hedging and expressing degrees of certainty; [or]spoken_oxf;
we know that :  [st]Hedging and expressing degrees of certainty; [or]spoken_oxf;
as you know :  [st]Hedging and expressing degrees of certainty; [or]spoken_oxf;
tend to be :  [st]Hedging and expressing degrees of certainty; [or]spoken_oxf;
more likely to :  [st]Hedging and expressing degrees of certainty; [or]spoken_oxf;
may well be :  [st]Hedging and expressing degrees of certainty; [or]spoken_oxf;
you find that :  [st]Hedging and expressing degrees of certainty; [or]spoken_oxf;
on the whole :  [st]Hedging and expressing degrees of certainty; [or]spoken_oxf;

# 14 Marking a shift in or change of topic
(going to) come to :  [st]Marking a shift in or change of topic; [or]spoken_oxf;
come back to (that) :  [st]Marking a shift in or change of topic; [or]spoken_oxf;
go back to (that) :  [st]Marking a shift in or change of topic; [or]spoken_oxf;
back to that :  [st]Marking a shift in or change of topic; [or]spoken_oxf;
move on to :  [st]Marking a shift in or change of topic; [or]spoken_oxf;
go on to :  [st]Marking a shift in or change of topic; [or]spoken_oxf;
so we have :  [st]Marking a shift in or change of topic; [or]spoken_oxf;
so you get :  [st]Marking a shift in or change of topic; [or]spoken_oxf;
OK so :  [st]Marking a shift in or change of topic; [or]spoken_oxf;
OK now :  [st]Marking a shift in or change of topic; [or]spoken_oxf;
all right so :  [st]Marking a shift in or change of topic; [or]spoken_oxf;
right so :  [st]Marking a shift in or change of topic; [or]spoken_oxf;
all right :  [st]Marking a shift in or change of topic; [or]spoken_oxf;
let me just :  [st]Marking a shift in or change of topic; [or]spoken_oxf;
by the way :  [st]Marking a shift in or change of topic; [or]spoken_oxf;

# 15 Direct address or instruction to students/audience
(just) to remind you :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
if you remember :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
to bear in mind :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
to think about :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
for those of you :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
many of you :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
most of you :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
you might want to (look at) :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
you will find :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
you can imagine :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
if you think about it :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
in front of you :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
at the top of :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
at the bottom of :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
on the/your handout :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
on the board :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
What does that mean? :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
Why do you think…? :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
What do you think…? :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
Are there any questions? :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;

# 16 Expressing quantity and increase/decrease
(lots and) lots of :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
(quite) a lot (of) :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
a certain amount of :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
an awful lot of :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
a little bit (of) :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
a number of :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
the number of :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
a (whole) series of :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
a (whole) range of :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
a variety of :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
all sorts :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
a group of :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
more and more :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
as a whole :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
the majority of :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
the whole of :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
the rate of (change) :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
the level of :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
the development of :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
the process of :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
at the level of :  [st]Direct address or instruction to students/audience; [or]spoken_oxf;
