# 1. Specifying topics and relations between ideas 
in terms of: [sit]Specifying topics and relations between ideas; [or]written_oxf;
an understanding of: [sit]Specifying topics and relations between ideas; [or]written_oxf;
a better understanding of: [sit]Specifying topics and relations between ideas; [or]written_oxf;
the assumption that: [sit]Specifying topics and relations between ideas; [or]written_oxf;
the aim/purpose of this study/chapter/: [sit]Specifying topics and relations between ideas; [or]written_oxf;
article: [sit]Specifying topics and relations between ideas; [or]written_oxf;
beyond the scope of (this book/article/: [sit]Specifying topics and relations between ideas; [or]written_oxf;
chapter): [sit]Specifying topics and relations between ideas; [or]written_oxf;
will be discussed in more detail: [sit]Specifying topics and relations between ideas; [or]written_oxf;
 
2. Drawing attention to something or focusing on it  
it is important (to): [sit]Drawing attention to something or focusing on it; [or]written_oxf;
it should be noted that: [sit]Drawing attention to something or focusing on it; [or]written_oxf;
it is important to note that: [sit]Drawing attention to something or focusing on it; [or]written_oxf;
it is interesting to note that: [sit]Drawing attention to something or focusing on it; [or]written_oxf;
it is worth noting that: [sit]Drawing attention to something or focusing on it; [or]written_oxf;
it is important to remember that: [sit]Drawing attention to something or focusing on it; [or]written_oxf;
it is important to realize that: [sit]Drawing attention to something or focusing on it; [or]written_oxf;
it is important to understand: [sit]Drawing attention to something or focusing on it; [or]written_oxf;
it is important to recognize/be aware of/: [sit]Drawing attention to something or focusing on it; [or]written_oxf;
bear in mind: [sit]Drawing attention to something or focusing on it; [or]written_oxf;
in the case of: [sit]Drawing attention to something or focusing on it; [or]written_oxf;
in this case: [sit]Drawing attention to something or focusing on it; [or]written_oxf;
the importance of: [sit]Drawing attention to something or focusing on it; [or]written_oxf;
(one of) the most important: [sit]Drawing attention to something or focusing on it; [or]written_oxf;
it is not surprising that: [sit]Drawing attention to something or focusing on it; [or]written_oxf;
the need for/to: [sit]Drawing attention to something or focusing on it; [or]written_oxf;
there is a need for/to: [sit]Drawing attention to something or focusing on it; [or]written_oxf;
the significance of: [sit]Drawing attention to something or focusing on it; [or]written_oxf;
it is necessary to: [sit]Drawing attention to something or focusing on it; [or]written_oxf;
it is useful to: [sit]Drawing attention to something or focusing on it; [or]written_oxf;
(to) take into account: [sit]Drawing attention to something or focusing on it; [or]written_oxf;
(to/should/need to) be taken into account: [sit]Drawing attention to something or focusing on it; [or]written_oxf;
to take account of: [sit]Drawing attention to something or focusing on it; [or]written_oxf;
to be aware of: [sit]Drawing attention to something or focusing on it; [or]written_oxf;
it is difficult to: [sit]Drawing attention to something or focusing on it; [or]written_oxf;
the purposes of: [sit]Drawing attention to something or focusing on it; [or]written_oxf;
the benefits of: [sit]Drawing attention to something or focusing on it; [or]written_oxf;
(to) note that: [sit]Drawing attention to something or focusing on it; [or]written_oxf;
an important role in: [sit]Drawing attention to something or focusing on it; [or]written_oxf;
at the heart of: [sit]Drawing attention to something or focusing on it; [or]written_oxf;
if and only if: [sit]Drawing attention to something or focusing on it; [or]written_oxf;
in fact: [sit]Drawing attention to something or focusing on it; [or]written_oxf;
 
# 3. Hedging and expressing degrees of certainty 
it may be: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
appears to be: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
does not appear to be: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
seems to be: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
it could/can be argued that: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
argue(s) that: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
held that: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
claim that: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
it is (not) possible to/that: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
it is impossible to: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
it may be possible to: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
the possibility of: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
the probability of: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
the likelihood of: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
the potential for: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
has/have the potential to: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
based on the assumption that: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
the view that: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
considered to be: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
to suggest that: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
it is clear that: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
it is not clear: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
(this) is not to say/suggest that: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
there is no reason to: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
there is no doubt that: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
it is difficult to see (how): [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
as a whole: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
assume that: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
it is reasonable to assume that: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
it is fair to say that: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
more or less: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
in general: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
is/are likely to be: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
is/are/were more likely to (be): [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
(are) less likely to: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
is/are likely to: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
it is likely that: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
be expected to: [sit]Hedging and expressing degrees of certainty; [or]written_oxf;
 
# 4. Explaining and defining 
in other words: [sit]Explaining and defining; [or]written_oxf;
(is) (often) referred to as: [sit]Explaining and defining; [or]written_oxf;
refer(s) to: [sit]Explaining and defining; [or]written_oxf;
this means that: [sit]Explaining and defining; [or]written_oxf;
this does not mean that: [sit]Explaining and defining; [or]written_oxf;
in the sense that/of: [sit]Explaining and defining; [or]written_oxf;
in this way: [sit]Explaining and defining; [or]written_oxf;
in such a way (that): [sit]Explaining and defining; [or]written_oxf;
in a way that: [sit]Explaining and defining; [or]written_oxf;
(as) a way of: [sit]Explaining and defining; [or]written_oxf;
(be) regarded as: [sit]Explaining and defining; [or]written_oxf;
(can) be thought of as: [sit]Explaining and defining; [or]written_oxf;
the definition of: [sit]Explaining and defining; [or]written_oxf;
is defined as: [sit]Explaining and defining; [or]written_oxf;
to account for: [sit]Explaining and defining; [or]written_oxf;
reasons for: [sit]Explaining and defining; [or]written_oxf;
the reason for this is that: [sit]Explaining and defining; [or]written_oxf;
it is for this reason that: [sit]Explaining and defining; [or]written_oxf;
for a number of reasons: [sit]Explaining and defining; [or]written_oxf;
can be described/explained in terms of: [sit]Explaining and defining; [or]written_oxf;
 
# 5. Giving examples or presenting evidence 
such as: [sit]Giving examples or presenting evidence; [or]written_oxf;
for example: [sit]Giving examples or presenting evidence; [or]written_oxf;
for instance: [sit]Giving examples or presenting evidence; [or]written_oxf;
as in: [sit]Giving examples or presenting evidence; [or]written_oxf;
as shown in: [sit]Giving examples or presenting evidence; [or]written_oxf;
according to: [sit]Giving examples or presenting evidence; [or]written_oxf;
is/are shown in: [sit]Giving examples or presenting evidence; [or]written_oxf;
can be seen (as/in): [sit]Giving examples or presenting evidence; [or]written_oxf;
it can be seen that: [sit]Giving examples or presenting evidence; [or]written_oxf;
as we have seen: [sit]Giving examples or presenting evidence; [or]written_oxf;
as we shall see: [sit]Giving examples or presenting evidence; [or]written_oxf;
it is easy to see that: [sit]Giving examples or presenting evidence; [or]written_oxf;
(is) an example of: [sit]Giving examples or presenting evidence; [or]written_oxf;
is a good example of: [sit]Giving examples or presenting evidence; [or]written_oxf;
show(s) that: [sit]Giving examples or presenting evidence; [or]written_oxf;
indicate(s) that: [sit]Giving examples or presenting evidence; [or]written_oxf;
has/have been shown to (be): [sit]Giving examples or presenting evidence; [or]written_oxf;
it can be shown that: [sit]Giving examples or presenting evidence; [or]written_oxf;
it has been shown that: [sit]Giving examples or presenting evidence; [or]written_oxf;
have shown that: [sit]Giving examples or presenting evidence; [or]written_oxf;
evidence of/that/for: [sit]Giving examples or presenting evidence; [or]written_oxf;
data on: [sit]Giving examples or presenting evidence; [or]written_oxf;
research on: [sit]Giving examples or presenting evidence; [or]written_oxf;
support for: [sit]Giving examples or presenting evidence; [or]written_oxf;
it has been suggested that: [sit]Giving examples or presenting evidence; [or]written_oxf;
it has been argued that: [sit]Giving examples or presenting evidence; [or]written_oxf;
in some cases: [sit]Giving examples or presenting evidence; [or]written_oxf;
(by/from) the fact that: [sit]Giving examples or presenting evidence; [or]written_oxf;
are based on: [sit]Giving examples or presenting evidence; [or]written_oxf;
basis for: [sit]Giving examples or presenting evidence; [or]written_oxf;
can be found in: [sit]Giving examples or presenting evidence; [or]written_oxf;
(was/have been) found to be: [sit]Giving examples or presenting evidence; [or]written_oxf;
found that: [sit]Giving examples or presenting evidence; [or]written_oxf;
observed in: [sit]Giving examples or presenting evidence; [or]written_oxf;
tend to: [sit]Giving examples or presenting evidence; [or]written_oxf;
characterized by: [sit]Giving examples or presenting evidence; [or]written_oxf;
in the light of: [sit]Giving examples or presenting evidence; [or]written_oxf;
as in the case of: [sit]Giving examples or presenting evidence; [or]written_oxf;
this is (not) the case: [sit]Giving examples or presenting evidence; [or]written_oxf;
see also: [sit]Giving examples or presenting evidence; [or]written_oxf;
in the form of: [sit]Giving examples or presenting evidence; [or]written_oxf;
(as) a form of: [sit]Giving examples or presenting evidence; [or]written_oxf;
different types of: [sit]Giving examples or presenting evidence; [or]written_oxf;
a/the type of: [sit]Giving examples or presenting evidence; [or]written_oxf;
a kind of: [sit]Giving examples or presenting evidence; [or]written_oxf;
kinds of: [sit]Giving examples or presenting evidence; [or]written_oxf;
in a number of ways: [sit]Giving examples or presenting evidence; [or]written_oxf;
in a variety of ways: [sit]Giving examples or presenting evidence; [or]written_oxf;
in so far as: [sit]Giving examples or presenting evidence; [or]written_oxf;
 
# 6. Expressing aims, causes and effects 
in order to: [sit]Expressing aims, causes and effects; [or]written_oxf;
so that: [sit]Expressing aims, causes and effects; [or]written_oxf;
(be/is) due to: [sit]Expressing aims, causes and effects; [or]written_oxf;
may be due to: [sit]Expressing aims, causes and effects; [or]written_oxf;
(be) due to the fact that: [sit]Expressing aims, causes and effects; [or]written_oxf;
as a result (of): [sit]Expressing aims, causes and effects; [or]written_oxf;
is a/the result of: [sit]Expressing aims, causes and effects; [or]written_oxf;
result(s) in: [sit]Expressing aims, causes and effects; [or]written_oxf;
because of: [sit]Expressing aims, causes and effects; [or]written_oxf;
caused by: [sit]Expressing aims, causes and effects; [or]written_oxf;
the cause(s) of: [sit]Expressing aims, causes and effects; [or]written_oxf;
the effect(s) of: [sit]Expressing aims, causes and effects; [or]written_oxf;
the/an effect(s) on: [sit]Expressing aims, causes and effects; [or]written_oxf;
the impact of: [sit]Expressing aims, causes and effects; [or]written_oxf;
an impact on: [sit]Expressing aims, causes and effects; [or]written_oxf;
subject to: [sit]Expressing aims, causes and effects; [or]written_oxf;
depend(s) on: [sit]Expressing aims, causes and effects; [or]written_oxf;
dependent on: [sit]Expressing aims, causes and effects; [or]written_oxf;
determined by: [sit]Expressing aims, causes and effects; [or]written_oxf;
in response to: [sit]Expressing aims, causes and effects; [or]written_oxf;
the way(s) in which: [sit]Expressing aims, causes and effects; [or]written_oxf;
the manner in which: [sit]Expressing aims, causes and effects; [or]written_oxf;
is based on: [sit]Expressing aims, causes and effects; [or]written_oxf;
on the basis of/that: [sit]Expressing aims, causes and effects; [or]written_oxf;
(is/are/be) associated with: [sit]Expressing aims, causes and effects; [or]written_oxf;
association between: [sit]Expressing aims, causes and effects; [or]written_oxf;
involved in: [sit]Expressing aims, causes and effects; [or]written_oxf;
responsible for: [sit]Expressing aims, causes and effects; [or]written_oxf;
to ensure that: [sit]Expressing aims, causes and effects; [or]written_oxf;
tend(s) to be: [sit]Expressing aims, causes and effects; [or]written_oxf;
give rise to: [sit]Expressing aims, causes and effects; [or]written_oxf;
by means of: [sit]Expressing aims, causes and effects; [or]written_oxf;
lead(s) to: [sit]Expressing aims, causes and effects; [or]written_oxf;
can/may lead to: [sit]Expressing aims, causes and effects; [or]written_oxf;
so as to: [sit]Expressing aims, causes and effects; [or]written_oxf;
such that: [sit]Expressing aims, causes and effects; [or]written_oxf;
a change in: [sit]Expressing aims, causes and effects; [or]written_oxf;
is consistent with: [sit]Expressing aims, causes and effects; [or]written_oxf;
(as) a consequence of: [sit]Expressing aims, causes and effects; [or]written_oxf;
the consequences of: [sit]Expressing aims, causes and effects; [or]written_oxf;
(as) a means of: [sit]Expressing aims, causes and effects; [or]written_oxf;
the influence of: [sit]Expressing aims, causes and effects; [or]written_oxf;
is related to: [sit]Expressing aims, causes and effects; [or]written_oxf;
(as) a source of: [sit]Expressing aims, causes and effects; [or]written_oxf;
derived from: [sit]Expressing aims, causes and effects; [or]written_oxf;
can be used to: [sit]Expressing aims, causes and effects; [or]written_oxf;
can be applied to: [sit]Expressing aims, causes and effects; [or]written_oxf;
on the part of: [sit]Expressing aims, causes and effects; [or]written_oxf;
at the expense of: [sit]Expressing aims, causes and effects; [or]written_oxf;
for the purpose(s) of: [sit]Expressing aims, causes and effects; [or]written_oxf;
play a role in: [sit]Expressing aims, causes and effects; [or]written_oxf;
play(s) an important role (in): [sit]Expressing aims, causes and effects; [or]written_oxf;
an important role to play in: [sit]Expressing aims, causes and effects; [or]written_oxf;
play a key role in: [sit]Expressing aims, causes and effects; [or]written_oxf;
an integral part of: [sit]Expressing aims, causes and effects; [or]written_oxf;
lies at the heart of: [sit]Expressing aims, causes and effects; [or]written_oxf;
in the event of: [sit]Expressing aims, causes and effects; [or]written_oxf;
have a significant impact on: [sit]Expressing aims, causes and effects; [or]written_oxf;
is the most common cause of: [sit]Expressing aims, causes and effects; [or]written_oxf;
 
# 7. Making contrasts 
rather than: [sit]Making contrasts; [or]written_oxf;
as opposed to: [sit]Making contrasts; [or]written_oxf;
in contrast to: [sit]Making contrasts; [or]written_oxf;
in contrast: [sit]Making contrasts; [or]written_oxf;
on the other hand: [sit]Making contrasts; [or]written_oxf;
on the one hand: [sit]Making contrasts; [or]written_oxf;
the difference between: [sit]Making contrasts; [or]written_oxf;
difference(s) in: [sit]Making contrasts; [or]written_oxf;
a number of different: [sit]Making contrasts; [or]written_oxf;
different from: [sit]Making contrasts; [or]written_oxf;
variation in: [sit]Making contrasts; [or]written_oxf;
whether or not: [sit]Making contrasts; [or]written_oxf;
this is not the case: [sit]Making contrasts; [or]written_oxf;
not necessarily: [sit]Making contrasts; [or]written_oxf;
with the exception of: [sit]Making contrasts; [or]written_oxf;
while at the same time: [sit]Making contrasts; [or]written_oxf;
in spite of the fact that: [sit]Making contrasts; [or]written_oxf;
is not the same (thing) as: [sit]Making contrasts; [or]written_oxf;
the other end of the spectrum: [sit]Making contrasts; [or]written_oxf;
 
# 8. Comparing 
compared with/to: [sit]Comparing; [or]written_oxf;
relative to: [sit]Comparing; [or]written_oxf;
in the same way (as/that): [sit]Comparing; [or]written_oxf;
in much the same way (as): [sit]Comparing; [or]written_oxf;
similar to (that of): [sit]Comparing; [or]written_oxf;
consistent with: [sit]Comparing; [or]written_oxf;
the corresponding: [sit]Comparing; [or]written_oxf;
corresponding to: [sit]Comparing; [or]written_oxf;
the advantages and disadvantages of: [sit]Comparing; [or]written_oxf;
 
# 9. Adding 
as well as: [sit]Adding; [or]written_oxf;
as well: [sit]Adding; [or]written_oxf;
in addition: [sit]Adding; [or]written_oxf;
(not only) but also: [sit]Adding; [or]written_oxf;
and so on: [sit]Adding; [or]written_oxf;
a combination of: [sit]Adding; [or]written_oxf;
 
# 10. Expressing quantity/degree and increase/decrease 
the/a number of: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
there are a number of: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
the amount of: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
the level of: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
a high level of: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
the rate of: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
(in) a (wide) variety of: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
(in) a/the (wide) range of: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
in the range of: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
a large number of: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
a small number of: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
an/the increase in: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
increase in the number of: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
a/the reduction in: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
reduction in the number of: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
the degree of: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
the degree to which: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
a high degree of: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
the extent of: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
the extent to which: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
to the extent that: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
the size of: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
the growth of: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
the rise of: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
high levels of: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
a series of: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
the most common: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
is equal to: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
a measure of: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
the percentage of: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
the/a proportion of: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
the ratio of: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
the total number of: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
the frequency of: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
the prevalence of: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
one or more of: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
by a factor of: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
is a measure of: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
in part: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
of the total: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
to a greater or lesser extent: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
more/greater/higher/less/: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
lower than: [sit]Expressing quantity/degree and increase/decrease; [or]written_oxf;
 
# 11. Expressing the existence/non-existence of something 
in the presence of: [sit]Expressing the existence/non-existence of something; [or]written_oxf;
the existence of: [sit]Expressing the existence/non-existence of something; [or]written_oxf;
(even) in the absence of (any): [sit]Expressing the existence/non-existence of something; [or]written_oxf;
the/a lack of: [sit]Expressing the existence/non-existence of something; [or]written_oxf;
the presence or absence of: [sit]Expressing the existence/non-existence of something; [or]written_oxf;
the majority of: [sit]Expressing the existence/non-existence of something; [or]written_oxf;
the vast majority of: [sit]Expressing the existence/non-existence of something; [or]written_oxf;
 
# 12. Referring to the text and to other texts 
in the course of: [sit]Referring to the text and to other texts; [or]written_oxf;
in this study: [sit]Referring to the text and to other texts; [or]written_oxf;
of this study: [sit]Referring to the text and to other texts; [or]written_oxf;
in the study: [sit]Referring to the text and to other texts; [or]written_oxf;
in this chapter: [sit]Referring to the text and to other texts; [or]written_oxf;
of this chapter: [sit]Referring to the text and to other texts; [or]written_oxf;
in the previous/next section: [sit]Referring to the text and to other texts; [or]written_oxf;
the following: [sit]Referring to the text and to other texts; [or]written_oxf;
as follows: [sit]Referring to the text and to other texts; [or]written_oxf;
the above: [sit]Referring to the text and to other texts; [or]written_oxf;
the former/latter: [sit]Referring to the text and to other texts; [or]written_oxf;
the work of: [sit]Referring to the text and to other texts; [or]written_oxf;
in the literature: [sit]Referring to the text and to other texts; [or]written_oxf;
et al: [sit]Referring to the text and to other texts; [or]written_oxf;
at the beginning of: [sit]Referring to the text and to other texts; [or]written_oxf;
 
# 13. Referring to time 
in the future: [sit]Referring to time; [or]written_oxf;
in recent years: [sit]Referring to time; [or]written_oxf;
in the past: [sit]Referring to time; [or]written_oxf;
prior to: [sit]Referring to time; [or]written_oxf;
(over) a period of time: [sit]Referring to time; [or]written_oxf;
over time: [sit]Referring to time; [or]written_oxf;
at the same time: [sit]Referring to time; [or]written_oxf;
in turn: [sit]Referring to time; [or]written_oxf;
 
# 14. Phrases with (the) (noun) of 
(by/with) the use of: [sit]Phrases with (the) (noun) of; [or]written_oxf;
(in) the development of: [sit]Phrases with (the) (noun) of; [or]written_oxf;
the role of: [sit]Phrases with (the) (noun) of; [or]written_oxf;
the nature of: [sit]Phrases with (the) (noun) of; [or]written_oxf;
the basis of: [sit]Phrases with (the) (noun) of; [or]written_oxf;
the form of: [sit]Phrases with (the) (noun) of; [or]written_oxf;
the value(s) of: [sit]Phrases with (the) (noun) of; [or]written_oxf;
in the process of: [sit]Phrases with (the) (noun) of; [or]written_oxf;
the risk of: [sit]Phrases with (the) (noun) of; [or]written_oxf;
(as/is) a function of: [sit]Phrases with (the) (noun) of; [or]written_oxf;
the quality of: [sit]Phrases with (the) (noun) of; [or]written_oxf;
the study of: [sit]Phrases with (the) (noun) of; [or]written_oxf;
the application of: [sit]Phrases with (the) (noun) of; [or]written_oxf;
the formation of: [sit]Phrases with (the) (noun) of; [or]written_oxf;
the ability to/of: [sit]Phrases with (the) (noun) of; [or]written_oxf;
the evolution of: [sit]Phrases with (the) (noun) of; [or]written_oxf;
the creation of: [sit]Phrases with (the) (noun) of; [or]written_oxf;
the distribution of: [sit]Phrases with (the) (noun) of; [or]written_oxf;
the emergence of: [sit]Phrases with (the) (noun) of; [or]written_oxf;
the meaning of: [sit]Phrases with (the) (noun) of; [or]written_oxf;
the principle of: [sit]Phrases with (the) (noun) of; [or]written_oxf;
the introduction of: [sit]Phrases with (the) (noun) of; [or]written_oxf;
the analysis of: [sit]Phrases with (the) (noun) of; [or]written_oxf;
the effectiveness of: [sit]Phrases with (the) (noun) of; [or]written_oxf;
the performance of: [sit]Phrases with (the) (noun) of; [or]written_oxf;
the implementation of: [sit]Phrases with (the) (noun) of; [or]written_oxf;
the availability of: [sit]Phrases with (the) (noun) of; [or]written_oxf;
the content of: [sit]Phrases with (the) (noun) of; [or]written_oxf;
aspect(s) of: [sit]Phrases with (the) (noun) of; [or]written_oxf;
characteristics of: [sit]Phrases with (the) (noun) of; [or]written_oxf;
feature(s) of: [sit]Phrases with (the) (noun) of; [or]written_oxf;
elements of: [sit]Phrases with (the) (noun) of; [or]written_oxf;
 
# 15. Miscellaneous 
his or her: [sit]Miscellaneous; [or]written_oxf;
he or she: [sit]Miscellaneous; [or]written_oxf;
men and women: [sit]Miscellaneous; [or]written_oxf;
